Rk,Player,Position,Game,Games Started,Mins Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Points,Awards
95,Chet Holmgren,C,32,32,27.4,5.2,10.7,0.49,1.4,3.6,0.379,3.8,7,0.547,0.554,3.2,4.2,0.754,1.5,6.5,8,3.5,1.2,2.2,2.2,1.9,24.7,AS
102,Jakob Poeltl,C,57,56,29.6,6.4,10.2,0.627,0,0.1,0.333,6.4,10.1,0.628,0.628,1.7,2.5,0.674,3.3,6.3,9.6,4.6,1.3,0.5,2.2,2,24.7,"CPOY-10,AS"
103,Deandre Ayton,C,40,40,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1,1.5,0.667,3.1,7.1,10.2,5.3,1.2,0.9,3,2.7,24.6,
107,Naz Reid,C,80,17,27.5,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6,6,1.1,0.4,2.9,1.4,24.5,"MVP-9,CPOY-5,AS,NBA2"
118,Jarrett Allen,C,82,82,28,5.5,7.8,0.706,0,0.1,0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,8.2,1,0.6,3.7,1.4,24.4,"MVP-6,CPOY-7,AS,NBA2"
119,Onyeka Okongwu,C,74,40,27.9,5.2,9.2,0.567,0.6,2,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3,5.9,8.9,3.1,1,0.7,2.7,3.5,24.4,"AS,NBA3"
124,Brook Lopez,C,80,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5,3.7,1.1,3.8,3.2,2.3,24.3,AS
125,Alex Sarr,C,67,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,0.457,1.7,2.5,0.679,1.9,4.6,6.5,4.7,1.3,0.4,2.3,2.5,24.2,
126,Moritz Wagner,C,30,1,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,11.6,1.2,0.2,4.7,1.9,24.2,"CPOY-4,AS"
139,Daniel Gafford,C,57,31,21.5,5,7.1,0.702,0,0,,5,7.1,0.702,0.702,2.4,3.4,0.689,2.7,4.1,6.8,5,1.3,0.2,2.1,2,24,"MVP-5,CPOY-9,AS,NBA1"
145,Rudy Gobert,C,72,72,33.2,4.7,7.1,0.669,0,0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,3.8,0.6,0.1,2.5,1.8,24,
149,Jalen Duren,C,78,78,26.1,4.8,7,0.692,0,0,,4.8,7,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,5.5,0.9,0.2,2.6,1.1,23.9,AS
155,Isaiah Hartenstein,C,57,53,27.9,4.9,8.4,0.581,0,0.3,0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,4.5,0.7,0.9,3.3,2.2,23.8,
158,Walker Kessler,C,58,58,30,4.8,7.2,0.663,0.1,0.6,0.176,4.7,6.6,0.706,0.671,1.4,2.6,0.52,4.6,7.6,12.2,6.3,1.5,0.4,2.8,2.6,23.5,
163,Guerschon Yabusele,C,70,43,27.1,4,8,0.501,1.5,3.9,0.38,2.5,4.1,0.616,0.593,1.4,2,0.725,1.9,3.7,5.6,4.2,0.8,0.2,2.8,1.6,23.3,
173,Jonas Valančiūnas,C,81,21,18.8,4.3,7.7,0.55,0.1,0.5,0.216,4.2,7.3,0.571,0.557,1.8,2,0.879,2.3,5.4,7.7,7.3,1.2,0.2,3.7,2.3,23.2,
179,Nic Claxton,C,70,62,26.9,4.6,8.1,0.563,0.1,0.3,0.238,4.5,7.8,0.576,0.568,1.1,2.2,0.513,2.2,5.1,7.4,8.7,1.5,0.7,4.3,2.1,22.8,"MVP-10,AS,NBA3"
202,Kyle Filipowski,C,72,27,21.1,3.6,7.2,0.502,1.1,3.1,0.35,2.5,4.1,0.614,0.576,1.3,2,0.65,1.6,4.6,6.1,4.5,1.2,0.3,2.6,2.4,22.2,AS
210,Tristan Vukcevic,C,35,1,14.7,3.4,6.9,0.496,1.1,2.9,0.373,2.3,4,0.586,0.574,1.5,1.9,0.776,0.7,3,3.7,4.4,0.8,0.4,1.4,1.9,22.2,
212,Nick Richards,C,57,43,22,3.6,6.1,0.591,0,0,0,3.6,6.1,0.594,0.591,2.1,2.8,0.744,2.6,5.6,8.2,5.2,0.9,0.6,3.8,2.5,22.2,
213,Kel'el Ware,C,64,36,22.2,4,7.3,0.554,0.5,1.7,0.315,3.5,5.5,0.629,0.592,0.7,1,0.687,1.8,5.6,7.4,2,1.2,1.5,2.1,3.5,22.2,"DPOY-7,AS,DEF2"
214,Zach Edey,C,66,55,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,2.1,1.2,0.2,1.8,1.9,21.8,
215,Wendell Carter Jr.,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5,7.2,5.1,1.6,0.7,2.2,2.3,21.6,"AS,NBA3,DEF2"
220,Yves Missi,C,73,67,26.8,3.7,6.7,0.547,0,0,0,3.7,6.7,0.548,0.547,1.7,2.8,0.623,3.5,4.7,8.2,3.1,1.6,0.5,1.9,1.5,21.5,
226,Al Horford,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,6,1.4,0.5,2.1,1.9,21.4,
229,Jusuf Nurkić,C,51,32,20.8,3.3,6.9,0.477,0.6,2.1,0.305,2.7,4.8,0.551,0.523,1.7,2.5,0.664,1.7,6.1,7.8,3.5,1.1,0.7,1.9,2.1,21.2,
230,Clint Capela,C,55,41,21.4,4,7.1,0.559,0,0,0,4,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,5.4,0.8,0.3,2.8,2.4,21.1,
236,Kelly Olynyk,C,44,22,20.3,3,6.1,0.5,0.8,1.8,0.418,2.3,4.3,0.534,0.562,1.9,2.5,0.769,1.4,3.3,4.7,4.1,0.8,0.4,1.9,2.2,21.1,
244,Dereck Lively II,C,36,29,23.1,3.7,5.3,0.702,0,0,,3.7,5.3,0.702,0.702,1.3,2,0.63,2.9,4.6,7.5,3.4,0.9,0.3,2.5,1.5,21,
261,Jalen Smith,C,64,2,15,3,6.4,0.466,1.1,3.5,0.324,1.8,2.9,0.634,0.554,1.1,1.4,0.809,1.4,4.2,5.6,3.6,1.1,0.7,2.8,2.7,21,
267,Day'Ron Sharpe,C,50,2,18.1,3.3,6.3,0.521,0.2,0.9,0.244,3.1,5.4,0.566,0.538,1.1,1.5,0.757,3,3.6,6.6,6.7,1.2,0.1,2.5,1.9,20.6,"CPOY-6,AS"
273,Oscar Tshiebwe,C,14,1,18.2,3,5,0.6,0,0,,3,5,0.6,0.6,1.6,2.2,0.742,3.3,5.4,8.7,4.5,1.3,0.4,3,3,20.5,
282,Andre Drummond,C,40,23,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,0.506,1.4,2.3,0.622,2.7,5,7.8,4.5,0.9,0.2,2.4,2.1,20.4,
